,0.07
1,0.0680345
2,0.0694138
3,0.0686897
4,0.0684828
5,0.0694483
6,0.068
7,0.0662414
8,0.0697586
9,0.0684483
10,0.0686552
11,0.0682414
12,0.0686207
13,0.069931
14,0.0678966
15,0.0670667
16,0.0655517
17,0.065
18,0.0682759
19,0.0661379
20,0.0667241
21,0.0699655
22,0.086069
23,0.313759
24,0.456333
25,0.46031
26,0.498379
27,0.527931
28,0.522552
29,0.527379
30,0.522138
31,0.518379
32,0.510034
33,0.524533
34,0.509586
35,0.513241
36,0.520793
37,0.518138
38,0.519517
39,0.482
40,0.486517
41,0.492655
42,0.461267
43,0.463483
44,0.512621
45,0.528241
46,0.509276
47,0.474897
48,0.510483
49,0.521862
50,0.471724
51,0.4941
52,0.481517
53,0.494897
54,0.487828
55,0.471138
56,0.506448
57,0.489586
58,0.452345
59,0.444233
60,0.496586
61,0.508103
62,0.521793
63,0.481138
64,0.476621
65,0.484138
66,0.502655
67,0.495
68,0.508233
69,0.501655
70,0.485793
71,0.488345
72,0.491621
73,0.503483
74,0.49831
75,0.499241
76,0.48369
77,0.496931
78,0.523733
79,0.487828
80,0.474172
81,0.472724
82,0.488483
83,0.500069
84,0.474414
85,0.477103
86,0.491567
87,0.468724
88,0.433
89,0.450276
90,0.385862
91,0.136897
92,0.0874138
93,0.0752414
94,0.076
95,0.0788966
96,0.0748276
97,0.0770345
98,0.0756207
99,0.0858
100,0.0866897
101,0.0855517
102,0.0856552
103,0.0852069
104,0.0847586
105,0.0846552
106,0.0863793
107,0.0816552
108,0.0823793
109,0.0834138
110,0.0833103
111,0.0784828
112,0.0786897
113,0.0812759
114,0.0793448
115,0.0785
116,0.0815862
117,0.0778621
118,0.069
119,0.0701724
120,0.0684828
121,0.0686897
122,0.0654483
123,0.0702759
124,0.0702759
125,0.0667667
126,0.069
127,0.0684828
128,0.0688966
129,0.0723103
130,0.0712069
131,0.0684828
132,0.0667241
133,0.0672759
134,0.0673103
135,0.0692333
136,0.0697586
137,0.0691724
138,0.0703793
139,0.0678966
140,0.0682414
141,0.0682414
142,0.0734138
143,0.0696552
144,0.0686667
145,0.0676207
146,0.0724138
147,0.0681724
148,0.0667241
149,0.065069
150,0.0665172
151,0.0661034
152,0.0644667
153,0.0661724
154,0.0704138
155,0.0688276
156,0.0663103
157,0.0658966
158,0.0674138
159,0.0698966
160,0.0681724
161,0.0654483
162,0.0699
163,0.070931
164,0.0704483
165,0.0725517
166,0.0815517
167,0.181207
168,0.478483
169,0.473724
170,0.453034
171,0.465034
172,0.4618
173,0.489
174,0.512207
175,0.496828
176,0.48631
177,0.489172
178,0.506828
179,0.506552
180,0.515241
181,0.502633
182,0.514034
183,0.527241
184,0.510862
185,0.488966
186,0.486448
187,0.525034
188,0.490379
189,0.517167
190,0.518276
191,0.494207
192,0.498379
193,0.503724
194,0.478207
195,0.511897
196,0.49369
197,0.498552
198,0.5215
199,0.511552
200,0.493483
201,0.500172
202,0.519138
203,0.490172
204,0.503517
205,0.502862
206,0.502517
207,0.513533
208,0.50731
209,0.505586
210,0.479103
211,0.500103
212,0.524655
213,0.505448
214,0.495931
215,0.503172
216,0.4912
217,0.481103
218,0.518862
219,0.496276
220,0.482621
221,0.496034
222,0.498552
223,0.495483
224,0.486172
225,0.502
226,0.48769
227,0.504724
228,0.487241
229,0.481103
230,0.465
231,0.454621
232,0.439414
233,0.460867
234,0.452414
235,0.411966
236,0.146138
237,0.0767586
238,0.069931
239,0.0805172
240,0.0841034
241,0.0853448
242,0.083931
243,0.0854483
244,0.0825172
245,0.0845172
246,0.0806552
247,0.0805
248,0.0824483
249,0.0793448
250,0.0816897
251,0.0784828
252,0.0801379
253,0.0808621
254,0.0817241
255,0.0820345
256,0.0815172
257,0.0844483
258,0.0873793
259,0.0857931
260,0.0896552
261,0.0815172
262,0.0748621
263,0.0726552
264,0.0753793
265,0.0742069
266,0.0744333
267,0.0732069
268,0.075
269,0.0764483
270,0.0734138
271,0.076
272,0.0698966
273,0.0677241
274,0.0681379
275,0.0659655
276,0.0694138
277,0.0678
278,0.0685862
279,0.0699655
280,0.0704483
281,0.0696897
282,0.0705172
283,0.071931
284,0.0716897
285,0.0713793
286,0.0703103
287,0.0692667
288,0.0708276
289,0.0714483
290,0.0703103
291,0.0695517
292,0.0670345
293,0.0661379
294,0.0683793
295,0.0698966
296,0.0702
297,0.0686897
298,0.0707931
299,0.0712069
300,0.0710345
301,0.0722759
302,0.07
303,0.0671379
304,0.0698966
305,0.0688621
306,0.0699
307,0.0691724
308,0.0704483
309,0.0693103
310,0.0767931
311,0.113655
312,0.298207
313,0.491966
314,0.467207
315,0.448138
316,0.518483
317,0.477833
318,0.49331
319,0.486966
320,0.502897
321,0.511931
322,0.530517
323,0.479069
324,0.485966
325,0.488759
326,0.5162
327,0.507448
328,0.503069
329,0.49531
330,0.505241
331,0.495759
332,0.500828
333,0.519
334,0.494414
335,0.485167
336,0.501345
337,0.473586
338,0.51169
339,0.506207
340,0.530966
341,0.485966
342,0.495655
343,0.480414
344,0.483333
